file,rows,cols,columns_preview
delta_vs_ens_v2_best_plus_finetuned.csv,29,17,__id__ | Dice_ET_base | Dice_TC_base | Dice_WT_base | HD95_ET | HD95_TC | HD95_WT | Failed | Overall_Dice_base | Dice_ET_cand | Dice_TC_cand | Dice_WT_cand | Overall_Dice_cand | delta_ET | delta_TC
delta_vs_ens_v2_last_plus_v2_best.csv,29,17,__id__ | Dice_ET_base | Dice_TC_base | Dice_WT_base | HD95_ET | HD95_TC | HD95_WT | Failed | Overall_Dice_base | Dice_ET_cand | Dice_TC_cand | Dice_WT_cand | Overall_Dice_cand | delta_ET | delta_TC
delta_vs_upenn_finetuned_best.csv,29,17,__id__ | Dice_ET_base | Dice_TC_base | Dice_WT_base | HD95_ET | HD95_TC | HD95_WT | Failed | Overall_Dice_base | Dice_ET_cand | Dice_TC_cand | Dice_WT_cand | Overall_Dice_cand | delta_ET | delta_TC
delta_vs_upenn_v2_best.csv,29,17,__id__ | Dice_ET_base | Dice_TC_base | Dice_WT_base | HD95_ET | HD95_TC | HD95_WT | Failed | Overall_Dice_base | Dice_ET_cand | Dice_TC_cand | Dice_WT_cand | Overall_Dice_cand | delta_ET | delta_TC
detailed_brats_results.csv,1251,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
detailed_brats_results_epoch_750.csv,1251,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | Dice_Mean | HD95_ET | HD95_TC | HD95_WT
detailed_brats_results_segmentor_epoch_650.csv,1251,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | Dice_Mean | HD95_ET | HD95_TC | HD95_WT
detailed_results.csv,384,2,Patient_ID | Mean_Dice
detailed_test_results.csv,1251,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
final_all_results_ranked.csv,7,6,rank | setup | et_thr | tc_thr | wt_thr | overall_dice_mean
final_classification_results.csv,4,16,file | status | accuracy | precision | recall | f1 | auc | tn | fp | fn | tp | n_eval_rows | true_col | pred_col | score_col
final_classification_with_clinical.csv,5,2,file | status
final_fixed_results.csv,435,2,Patient_ID | Dice_WT
final_results.csv,1251,9,Patient_ID | Dice_ET | Dice_TC | Dice_WT | Dice_Mean | HD95_ET | HD95_TC | HD95_WT | Pred_Empty
final_results_segmentor_epoch_650.csv,1251,9,Patient_ID | Dice_ET | Dice_TC | Dice_WT | Dice_Mean | HD95_ET | HD95_TC | HD95_WT | Pred_Empty
final_summary_table.csv,11,2,Metric | Value
fn_probe_results.csv,10,7,Patient_ID | GT_ET_voxels | ET_prob_max | ET_prob_p99 | ET_prob_p95 | voxels_>0.20 | voxels_>0.10
pontine_eval_continue_t02.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
